d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
50,0,0.01,0,20944,20944,1
50,0,0.02,1,20944,20937,0
50,0,0.05,2,20944,20379,0
50,0,0.1,5,20944,20944,1
50,0,0.2,10,20944,20381,0
50,0,0.3,15,20944,20381,0
50,0,0.5,25,20944,4675,0
50,1,0.01,0,6108,6108,1
50,1,0.02,1,6108,6105,0
50,1,0.05,2,6108,6108,1
50,1,0.1,5,6108,6108,1
50,1,0.2,10,6108,6107,0
50,1,0.3,15,6108,7085,0
50,1,0.5,25,6108,2215,0
50,2,0.01,0,335,335,1
50,2,0.02,1,335,335,1
50,2,0.05,2,335,335,1
50,2,0.1,5,335,332,0
50,2,0.2,10,335,335,1
50,2,0.3,15,335,335,1
50,2,0.5,25,335,777,0
50,3,0.01,0,19156,19156,1
50,3,0.02,1,19156,19178,0
50,3,0.05,2,19156,19173,0
50,3,0.1,5,19156,21778,0
50,3,0.2,10,19156,19156,1
50,3,0.3,15,19156,19134,0
50,3,0.5,25,19156,19148,0
50,4,0.01,0,11946,11946,1
50,4,0.02,1,11946,13864,0
50,4,0.05,2,11946,11891,0
50,4,0.1,5,11946,11889,0
50,4,0.2,10,11946,11908,0
50,4,0.3,15,11946,4451,0
50,4,0.5,25,11946,11889,0
50,5,0.01,0,32936,32936,1
50,5,0.02,1,32936,32936,1
50,5,0.05,2,32936,32897,0
50,5,0.1,5,32936,27468,0
50,5,0.2,10,32936,31755,0
50,5,0.3,15,32936,27241,0
50,5,0.5,25,32936,32998,0
50,6,0.01,0,21958,21958,1
50,6,0.02,1,21958,21958,1
50,6,0.05,2,21958,21958,1
50,6,0.1,5,21958,17046,0
50,6,0.2,10,21958,17619,0
50,6,0.3,15,21958,17047,0
50,6,0.5,25,21958,18012,0
50,7,0.01,0,20277,20277,1
50,7,0.02,1,20277,20574,0
50,7,0.05,2,20277,20277,1
50,7,0.1,5,20277,4593,0
50,7,0.2,10,20277,4819,0
50,7,0.3,15,20277,20277,1
50,7,0.5,25,20277,4593,0
50,8,0.01,0,20583,20583,1
50,8,0.02,1,20583,20583,1
50,8,0.05,2,20583,20583,1
50,8,0.1,5,20583,20583,1
50,8,0.2,10,20583,20583,1
50,8,0.3,15,20583,4828,0
50,8,0.5,25,20583,20583,1
50,9,0.01,0,1804,1804,1
50,9,0.02,1,1804,1804,1
50,9,0.05,2,1804,1804,1
50,9,0.1,5,1804,1804,1
50,9,0.2,10,1804,1809,0
50,9,0.3,15,1804,1804,1
50,9,0.5,25,1804,198,0
50,10,0.01,0,2463,2463,1
50,10,0.02,1,2463,2463,1
50,10,0.05,2,2463,2463,1
50,10,0.1,5,2463,2463,1
50,10,0.2,10,2463,2156,0
50,10,0.3,15,2463,2387,0
50,10,0.5,25,2463,2139,0
50,11,0.01,0,6940,6940,1
50,11,0.02,1,6940,7369,0
50,11,0.05,2,6940,6940,1
50,11,0.1,5,6940,7369,0
50,11,0.2,10,6940,7372,0
50,11,0.3,15,6940,5333,0
50,11,0.5,25,6940,16517,0
50,12,0.01,0,4101,4101,1
50,12,0.02,1,4101,4101,1
50,12,0.05,2,4101,4101,1
50,12,0.1,5,4101,4101,1
50,12,0.2,10,4101,4335,0
50,12,0.3,15,4101,6105,0
50,12,0.5,25,4101,12905,0
50,13,0.01,0,5266,5266,1
50,13,0.02,1,5266,5266,1
50,13,0.05,2,5266,5156,0
50,13,0.1,5,5266,4841,0
50,13,0.2,10,5266,1419,0
50,13,0.3,15,5266,1533,0
50,13,0.5,25,5266,1577,0
50,14,0.01,0,4039,4039,1
50,14,0.02,1,4039,4090,0
50,14,0.05,2,4039,4090,0
50,14,0.1,5,4039,4102,0
50,14,0.2,10,4039,5067,0
50,14,0.3,15,4039,4082,0
50,14,0.5,25,4039,11651,0
50,15,0.01,0,11029,11029,1
50,15,0.02,1,11029,28406,0
50,15,0.05,2,11029,28406,0
50,15,0.1,5,11029,11029,1
50,15,0.2,10,11029,30097,0
50,15,0.3,15,11029,11026,0
50,15,0.5,25,11029,11029,1
50,16,0.01,0,18723,18723,1
50,16,0.02,1,18723,18723,1
50,16,0.05,2,18723,18723,1
50,16,0.1,5,18723,19547,0
50,16,0.2,10,18723,20286,0
50,16,0.3,15,18723,20871,0
50,16,0.5,25,18723,20302,0
50,17,0.01,0,3734,3734,1
50,17,0.02,1,3734,3734,1
50,17,0.05,2,3734,19138,0
50,17,0.1,5,3734,19138,0
50,17,0.2,10,3734,18720,0
50,17,0.3,15,3734,3437,0
50,17,0.5,25,3734,18746,0
50,18,0.01,0,30331,30331,1
50,18,0.02,1,30331,30000,0
50,18,0.05,2,30331,30331,1
50,18,0.1,5,30331,30018,0
50,18,0.2,10,30331,30342,0
50,18,0.3,15,30331,20580,0
50,18,0.5,25,30331,20287,0
50,19,0.01,0,20558,20558,1
50,19,0.02,1,20558,20558,1
50,19,0.05,2,20558,20558,1
50,19,0.1,5,20558,21104,0
50,19,0.2,10,20558,7304,0
50,19,0.3,15,20558,6897,0
50,19,0.5,25,20558,7352,0
50,20,0.01,0,4442,4442,1
50,20,0.02,1,4442,4442,1
50,20,0.05,2,4442,4442,1
50,20,0.1,5,4442,4442,1
50,20,0.2,10,4442,4442,1
50,20,0.3,15,4442,4442,1
50,20,0.5,25,4442,4136,0
50,21,0.01,0,11286,11286,1
50,21,0.02,1,11286,11848,0
50,21,0.05,2,11286,11289,0
50,21,0.1,5,11286,11802,0
50,21,0.2,10,11286,11369,0
50,21,0.3,15,11286,11284,0
50,21,0.5,25,11286,11233,0
50,22,0.01,0,3733,3733,1
50,22,0.02,1,3733,4327,0
50,22,0.05,2,3733,3733,1
50,22,0.1,5,3733,4324,0
50,22,0.2,10,3733,4436,0
50,22,0.3,15,3733,3733,1
50,22,0.5,25,3733,368,0
50,23,0.01,0,19299,19299,1
50,23,0.02,1,19299,19298,0
50,23,0.05,2,19299,19299,1
50,23,0.1,5,19299,21904,0
50,23,0.2,10,19299,20683,0
50,23,0.3,15,19299,19299,1
50,23,0.5,25,19299,16125,0
50,24,0.01,0,22515,22515,1
50,24,0.02,1,22515,22515,1
50,24,0.05,2,22515,17480,0
50,24,0.1,5,22515,22515,1
50,24,0.2,10,22515,2153,0
50,24,0.3,15,22515,22545,0
50,24,0.5,25,22515,1510,0
50,25,0.01,0,8278,8278,1
50,25,0.02,1,8278,11812,0
50,25,0.05,2,8278,8209,0
50,25,0.1,5,8278,11812,0
50,25,0.2,10,8278,12663,0
50,25,0.3,15,8278,11250,0
50,25,0.5,25,8278,9958,0
50,26,0.01,0,6540,6540,1
50,26,0.02,1,6540,6540,1
50,26,0.05,2,6540,6486,0
50,26,0.1,5,6540,2468,0
50,26,0.2,10,6540,2216,0
50,26,0.3,15,6540,6549,0
50,26,0.5,25,6540,2447,0
50,27,0.01,0,22661,22661,1
50,27,0.02,1,22661,22654,0
50,27,0.05,2,22661,22661,1
50,27,0.1,5,22661,20090,0
50,27,0.2,10,22661,21907,0
50,27,0.3,15,22661,21592,0
50,27,0.5,25,22661,21461,0
50,28,0.01,0,19542,19542,1
50,28,0.02,1,19542,19542,1
50,28,0.05,2,19542,19542,1
50,28,0.1,5,19542,19542,1
50,28,0.2,10,19542,19664,0
50,28,0.3,15,19542,19543,0
50,28,0.5,25,19542,19681,0
50,29,0.01,0,20306,20306,1
50,29,0.02,1,20306,20306,1
50,29,0.05,2,20306,20306,1
50,29,0.1,5,20306,20299,0
50,29,0.2,10,20306,20294,0
50,29,0.3,15,20306,20297,0
50,29,0.5,25,20306,20303,0
50,30,0.01,0,21213,21213,1
50,30,0.02,1,21213,21213,1
50,30,0.05,2,21213,33282,0
50,30,0.1,5,21213,21213,1
50,30,0.2,10,21213,21219,0
50,30,0.3,15,21213,32915,0
50,30,0.5,25,21213,19156,0
50,31,0.01,0,7849,7849,1
50,31,0.02,1,7849,7849,1
50,31,0.05,2,7849,24300,0
50,31,0.1,5,7849,24217,0
50,31,0.2,10,7849,7849,1
50,31,0.3,15,7849,7849,1
50,31,0.5,25,7849,24300,0
50,32,0.01,0,4907,4907,1
50,32,0.02,1,4907,4907,1
50,32,0.05,2,4907,3852,0
50,32,0.1,5,4907,3854,0
50,32,0.2,10,4907,4822,0
50,32,0.3,15,4907,20681,0
50,32,0.5,25,4907,5328,0
50,33,0.01,0,1577,1577,1
50,33,0.02,1,1577,1577,1
50,33,0.05,2,1577,1577,1
50,33,0.1,5,1577,1577,1
50,33,0.2,10,1577,4909,0
50,33,0.3,15,1577,5332,0
50,33,0.5,25,1577,1568,0
50,34,0.01,0,6730,6730,1
50,34,0.02,1,6730,6730,1
50,34,0.05,2,6730,6730,1
50,34,0.1,5,6730,2644,0
50,34,0.2,10,6730,2218,0
50,34,0.3,15,6730,22955,0
50,34,0.5,25,6730,5536,0
50,35,0.01,0,3525,3525,1
50,35,0.02,1,3525,3508,0
50,35,0.05,2,3525,4135,0
50,35,0.1,5,3525,3525,1
50,35,0.2,10,3525,4673,0
50,35,0.3,15,3525,3508,0
50,35,0.5,25,3525,4068,0
50,36,0.01,0,21911,21911,1
50,36,0.02,1,21911,23196,0
50,36,0.05,2,21911,19296,0
50,36,0.1,5,21911,19294,0
50,36,0.2,10,21911,19296,0
50,36,0.3,15,21911,20104,0
50,36,0.5,25,21911,23687,0
50,37,0.01,0,3416,3416,1
50,37,0.02,1,3416,3416,1
50,37,0.05,2,3416,15165,0
50,37,0.1,5,3416,125,0
50,37,0.2,10,3416,15162,0
50,37,0.3,15,3416,5537,0
50,37,0.5,25,3416,335,0
50,38,0.01,0,20303,20303,1
50,38,0.02,1,20303,20302,0
50,38,0.05,2,20303,20303,1
50,38,0.1,5,20303,20303,1
50,38,0.2,10,20303,30356,0
50,38,0.3,15,20303,20869,0
50,38,0.5,25,20303,20302,0
50,39,0.01,0,4034,4034,1
50,39,0.02,1,4034,4034,1
50,39,0.05,2,4034,4034,1
50,39,0.1,5,4034,542,0
50,39,0.2,10,4034,540,0
50,39,0.3,15,4034,540,0
50,39,0.5,25,4034,8600,0
50,40,0.01,0,5270,5270,1
50,40,0.02,1,5270,5270,1
50,40,0.05,2,5270,5270,1
50,40,0.1,5,5270,5270,1
50,40,0.2,10,5270,5259,0
50,40,0.3,15,5270,5270,1
50,40,0.5,25,5270,4914,0
50,41,0.01,0,23589,23589,1
50,41,0.02,1,23589,23589,1
50,41,0.05,2,23589,23589,1
50,41,0.1,5,23589,23589,1
50,41,0.2,10,23589,23589,1
50,41,0.3,15,23589,23589,1
50,41,0.5,25,23589,30869,0
50,42,0.01,0,13919,13919,1
50,42,0.02,1,13919,13617,0
50,42,0.05,2,13919,13624,0
50,42,0.1,5,13919,13351,0
50,42,0.2,10,13919,13358,0
50,42,0.3,15,13919,11794,0
50,42,0.5,25,13919,13918,0
